Site,Name,Latitude,Longitude,Altitude (m),Transmitter,Height (m),Azimuth (°),Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_4  ,21.1,190,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_5  ,21.1,300,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_6  ,21.1,300,Priority,
CK137,Cignal Meentinny,52.2789,-9.093,374,CK137 Cignal Meentinny_1   ,29,81,Priority,
CK137,Cignal Meentinny,52.2789,-9.093,374,CK137 Cignal Meentinny_2   ,29,287,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_1   ,26,0,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_2   ,26,0,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_3   ,26,120,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_4   ,26,120,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_5   ,26,240,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_6   ,26,240,Priority,
CK142,ESB Cobh 38KV,51.85481,-8.29568,66,CK142 ESB Cobh 38KV_1  ,24,100,Priority,
CK142,ESB Cobh 38KV,51.85481,-8.29568,66,CK142 ESB Cobh 38KV_2  ,24,230,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_1   ,18.5,160,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_2   ,18.5,160,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_3   ,18.5,335,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_4   ,18.5,335,Priority,
CN001,3IRL Murmod,53.851882,-7.083487,188,CN001 3IRL Murmod_1   ,26,30,Priority,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_5   ,20.5,240,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_6   ,20.5,240,#N/A,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_1   ,26.1,60,#N/A,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_2   ,26.1,60,#N/A,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_3   ,26.1,180,#N/A,
